6.39,35.57,1025.53,77.23,487.69
22.11,59.8,1016.86,70.14,450.62
25.4,70.4,1006.8,94.78,439.04
29.45,75.6,1018.12,50.68,437.31
24.59,60.37,1005.31,76.81,438.09
10.19,44.63,1020.58,91.64,472.45
22.47,59.43,1006.02,85.21,444.5
23.83,50.32,1008.41,72.23,445.17
18.6,60.1,1009.91,87.13,453.94
30.01,69.13,1010.11,62.42,425.75
17.57,46.21,1014.09,80.81,453.29
10.73,40.35,1012.27,89.65,477.23
8.94,42.07,1018.9,85.93,473.34
17.77,56.53,1019.57,79.89,457.94
16.77,49.39,1018.61,95.86,459.38
13.46,39.85,1012.76,72.94,472.5
22.7,63.56,1014.32,71.76,445.
8.07,43.41,1016.02,76.26,467.56
19.2,54.2,1011.46,84.44,450.75
21.92,61.87,1009.68,58.83,445.52
18.92,46.93,1009.89,77.98,453.66
7.2,40.35,1011.83,95.59,484.9
10.06,37.83,1005.49,99.46,473.51
7.09,43.65,1019.6,72.1,483.42
23.63,60.37,1005.,81.66,440.74
20.32,39.72,1001.38,57.21,456.18
7.94,40.56,1023.25,80.84,488.01
27.11,69.75,1009.74,85.67,433.28
13.74,42.74,1029.54,70.,465.92
31.11,75.33,1002.32,64.25,433.37
13.52,41.48,1014.46,67.12,460.76
14.02,40.1,1015.56,82.44,467.32
28.34,73.68,1015.05,76.73,432.
15.62,35.4,1016.19,53.95,467.95
23.72,58.62,1016.32,71.17,447.13
15.77,58.16,1016.09,82.56,450.11
19.04,43.43,1009.25,68.74,453.32
34.1,73.03,1014.01,41.26,437.65
17.45,49.64,1026.4,66.67,454.67
11.57,41.54,1020.13,69.14,476.89
29.,69.68,1012.78,66.09,442.79
28.41,61.47,1008.94,56.56,442.54
14.18,40.69,1014.73,74.88,471.52
28.16,70.72,1009.81,65.32,441.37
12.68,40.69,1014.46,79.77,475.37
32.87,71.32,1004.36,54.69,433.15
29.56,70.4,1006.49,82.95,432.85
22.64,62.44,1011.82,75.07,448.13
25.13,51.95,1005.42,62.05,447.7
22.08,45.61,1014.02,75.71,456.71
20.54,49.15,1021.02,56.,458.6
22.5,58.79,1017.48,73.02,443.35
24.15,64.63,1020.72,58.06,448.87
9.04,40.11,1023.3,76.32,473.57
13.57,41.4,1021.27,72.55,464.23
26.38,59.92,1009.99,71.91,444.85
23.46,72.43,1008.,90.55,435.36
18.16,43.96,1012.78,78.33,465.26
15.6,41.7,1019.15,84.1,461.38
20.19,66.86,1012.97,64.7,454.84
19.04,68.28,1004.52,86.16,444.54
25.01,68.63,1013.76,43.65,447.12
14.67,71.14,1019.84,77.72,458.8
21.03,70.02,1010.21,95.69,444.53
22.35,54.42,1012.46,75.01,454.72
26.43,58.41,1013.57,64.67,444.74
26.49,59.44,1012.09,57.84,441.16
27.29,64.45,1013.46,45.35,446.94
21.83,62.91,1011.07,91.34,443.76
22.16,64.63,1020.81,68.47,451.86
25.03,47.93,1003.02,62.89,443.55
8.56,40.71,1021.27,95.87,471.58
13.69,41.74,1021.19,60.86,471.84
7.87,43.02,1014.67,83.58,485.61
20.3,48.41,1007.48,89.66,446.68
20.14,46.33,1013.24,83.39,453.35
11.25,40.67,1011.64,63.54,480.49
23.47,51.3,1011.89,74.1,448.65
28.65,70.32,1008.46,58.13,433.45
22.65,68.67,1006.67,77.42,447.01
15.52,42.86,1015.09,83.48,467.12
20.88,47.45,1007.5,76.21,449.34
11.16,40.05,1014.95,88.38,479.11
15.97,45.01,1016.58,83.24,456.91
22.17,65.61,1014.71,70.91,449.91
5.98,39.61,1017.27,84.86,482.17
26.06,67.83,1009.26,66.37,432.28
14.91,39.28,1014.57,75.23,469.34
6.97,41.26,1010.6,96.88,484.71
27.75,65.34,1014.8,45.91,440.83
19.91,51.19,1008.,90.23,449.23
24.27,74.93,1012.73,73.81,443.06
21.84,59.07,1008.84,96.5,448.61
32.09,69.4,1003.1,56.91,430.62
13.01,41.17,1017.26,76.2,469.48
13.35,39.18,1023.24,61.98,469.34
24.27,74.99,1007.73,82.49,438.26
27.02,61.86,1012.38,70.28,442.67
31.01,67.83,1007.95,43.57,429.46
10.02,39.66,1016.34,79.98,480.05
21.93,58.96,1014.23,58.58,453.42
26.97,64.45,1009.43,53.96,443.75
9.43,43.69,1017.28,91.8,478.48
14.93,39.16,1007.25,72.35,463.2
16.55,54.3,1017.95,60.84,460.59
30.2,69.59,1008.9,67.32,434.66
11.02,40.81,1016.31,78.13,474.01
5.19,40.78,1025.24,95.07,482.46
29.31,64.84,1010.49,53.97,442.11
8.47,41.03,1021.72,70.16,485.1
9.51,40.81,1015.69,82.52,475.29
17.55,45.87,1008.07,80.98,454.29
33.2,70.8,1008.75,59.41,430.71
17.72,48.14,1013.26,65.09,457.44
12.57,39.16,1016.53,88.91,476.2
27.6,69.34,1009.63,71.58,440.6
17.89,42.42,1008.92,65.08,467.59
15.82,44.88,1018.59,78.88,461.9
24.51,58.79,1016.11,61.7,443.5
10.59,38.38,1021.58,68.23,474.94
29.4,57.19,1008.34,53.95,436.92
12.59,41.14,1025.79,86.55,465.74
24.94,62.96,1019.76,58.44,443.48
13.11,41.44,1015.55,74.45,471.61
14.75,40.66,1016.7,81.65,463.83
22.78,59.92,1011.28,88.78,440.87
18.64,52.08,1004.24,99.9,451.3
35.1,68.27,1006.96,43.51,426.3
15.91,38.62,1016.2,63.63,462.25
11.06,41.16,1018.52,89.14,467.46
23.27,64.69,1006.84,70.53,438.08
9.3,43.14,1010.99,88.12,477.02
20.11,51.19,1007.82,92.06,449.03
27.14,64.27,1012.71,54.4,441.68
25.15,66.49,1012.71,63.46,436.
23.97,64.05,1012.23,90.18,447.44
8.53,38.18,1017.54,76.49,480.86
32.36,73.91,1003.88,59.84,431.92
