28.31,50.05,1005.75,50.17
31.71,69.04,1008.79,49.32
15.87,45.,1021.92,40.
10.32,40.35,1011.64,84.05
21.19,42.48,1013.43,80.52
13.6,39.82,1013.34,86.1
27.55,68.08,1011.42,60.71
23.85,74.22,1009.99,82.72
13.56,39.18,1023.4,63.82
19.72,65.94,1010.53,82.12
29.73,73.06,1010.27,84.84
15.45,45.,1023.63,70.74
10.75,45.,1023.68,89.37
21.73,61.45,1010.27,91.59
25.72,70.47,1010.44,70.57
24.34,59.54,1004.01,87.07
27.17,63.09,1015.59,68.33
12.93,43.13,1014.91,55.7
26.05,65.38,1009.43,52.1
23.45,69.05,1003.03,66.41
26.3,77.95,1009.45,78.72
10.03,41.79,1020.35,66.42
14.43,39.82,1012.56,78.52
24.17,48.78,1018.08,75.14
17.8,43.72,1008.71,78.5
27.23,71.77,1006.59,77.94
19.93,56.65,1020.7,62.82
15.5,44.92,1024.16,86.44
15.79,44.89,1010.19,84.61
30.99,68.51,1008.,71.35
18.31,52.9,1015.99,66.14
29.88,68.08,1011.14,55.78
29.49,69.71,1009.34,56.35
10.11,39.35,1015.19,90.74
15.86,49.69,1015.59,87.26
13.74,44.21,1023.26,84.2
24.04,51.95,1006.13,73.92
22.33,45.87,1007.8,63.61
14.79,39.54,1007.25,82.54
8.9,41.4,1030.83,85.63
18.85,67.32,1012.91,82.37
24.1,68.61,1010.97,74.87
26.29,56.85,1012.68,60.33
14.17,43.13,1014.94,48.62
37.11,68.94,1006.23,31.15
14.6,39.31,1011.11,72.52
23.15,69.48,1011.07,85.83
29.56,74.22,1007.45,57.46
21.44,63.09,1016.56,90.11
16.62,52.05,1011.96,67.81
10.12,39.96,1025.98,98.63
13.6,41.2,1015.92,85.05
22.72,50.05,1007.,88.24
29.44,64.33,1011.4,61.78
21.54,58.12,1015.33,78.67
26.41,68.24,1010.6,77.79
26.13,47.93,1002.81,66.19
27.89,69.88,1007.99,85.62
23.04,48.06,1014.16,54.99
20.8,50.9,1012.07,73.16
26.51,44.57,1007.56,52.23
24.89,64.27,1013.52,64.65
14.4,41.26,1021.41,73.11
16.37,36.99,1006.37,90.11
26.53,63.87,1017.38,48.53
12.18,40.1,1016.67,91.87
8.51,34.69,1026.96,75.34
9.2,40.77,1011.88,89.86
9.31,43.56,1015.09,79.96
10.39,44.85,1014.22,78.42
10.6,41.17,1018.38,87.92
19.39,43.14,1012.75,44.21
27.98,58.33,1013.92,54.25
10.54,42.02,997.5,99.77
19.13,40.79,1004.47,91.7
26.3,69.05,1005.37,41.7
24.54,48.06,1013.02,55.18
19.83,59.21,1012.67,96.42
13.61,40.71,1022.36,72.87
14.38,40.71,1023.46,66.12
11.01,37.5,1015.08,73.36
18.59,65.06,1015.75,80.72
21.28,70.32,1011.55,88.05
11.48,36.18,1017.03,61.62
25.66,77.54,1008.22,78.42
23.39,63.94,1010.54,89.94
25.97,68.12,1013.11,61.97
12.24,44.92,1023.74,88.21
21.33,58.46,1016.17,79.73
5.89,39.48,1005.11,59.83
25.9,48.92,1009.82,35.42
12.72,39.13,1008.36,92.59
17.57,43.7,1015.53,67.22
17.74,49.78,1004.9,100.09
24.42,63.31,1012.64,71.8
